nr.,position,inductance [mH],inductance_comp [mH],Ld,Lq
1,300,14.287,9.52,0.010382,0.002872667
2,295,12.635,8.42,,
3,290,11.121,7.41,,
4,285,9.381,6.25,,
5,280,7.269,4.85,,
6,275,5.809,3.87,,
7,270,4.743,3.16,,
8,265,4.309,2.87,,
9,260,4.689,3.13,,
10,255,5.587,3.72,,
11,250,7.571,5.05,,
12,245,9.498,6.33,,
13,240,11.172,7.45,,
14,235,13.083,8.72,,
15,230,14.207,9.47,,
16,225,15.142,10.09,,
17,220,15.527,10.35,,
18,215,14.969,9.98,,
19,210,13.744,9.16,,
20,205,12.057,8.04,,
21,200,10.723,7.15,,
22,195,6.484,4.32,,
23,190,5.527,3.68,,
24,185,4.64,3.09,,
25,180,4.346,2.90,,
26,175,4.671,3.11,,
27,170,5.746,3.83,,
28,165,7.416,4.94,,
29,160,9.087,6.06,,
30,155,11.464,7.64,,
31,150,12.962,8.64,,
32,145,14.269,9.51,,
33,140,15.123,10.08,,
34,135,15.573,10.38,,
35,130,14.992,9.99,,
36,125,13.972,9.31,,
37,120,12.722,8.48,,
38,115,10.761,7.17,,
39,110,8.991,5.99,,
40,105,7.056,4.70,,
41,100,5.782,3.85,,
42,95,4.783,3.19,,
43,90,4.348,2.90,,
44,85,4.5,3.00,,
45,80,5.416,3.61,,
46,75,7.492,4.99,,
47,70,8.945,5.96,,
48,65,10.674,7.12,,
49,60,12.571,8.38,,
50,55,13.904,9.27,,
51,50,15.294,10.20,,
52,45,15.523,10.35,,
53,40,15.275,10.18,,
54,35,14.532,9.69,,
55,30,13.307,8.87,,
56,25,11.263,7.51,,
57,20,9.972,6.65,,
58,15,7.934,5.29,,
59,10,5.946,3.96,,
60,5,4.934,3.29,,
61,0,4.345,2.90,,
62,-5,4.544,3.03,,
63,-10,5.323,3.55,,
64,-15,6.952,4.63,,
65,-20,8.734,5.82,,
66,-25,10.454,6.97,,
67,-30,12.211,8.14,,
68,-35,13.988,9.33,,
69,-40,14.742,9.83,,
70,-45,15.224,10.15,,
71,-50,14.208,9.47,,
72,-55,12.979,8.65,,
