nr.,position,inductance [mH],inductance_comp [mH],Ld,Lq
1,85,4.628,3.09,0.0080315,0.0022455
2,80,5.621,3.75,,
3,75,7.157,4.77,,
4,70,8.775,5.85,,
5,65,10.771,7.18,,
6,60,12.427,8.28,,
7,55,13.983,9.32,,
8,50,15.112,10.07,,
9,45,15.95,10.63,,
10,40,15.827,10.55,,
11,35,14.935,9.96,,
12,30,13.343,8.9,,
13,25,11.776,7.85,,
14,20,10.164,6.78,,
15,15,7.846,5.23,,
16,10,6.278,4.19,,
17,5,4.831,3.22,,
18,0,4.493,3,,
19,-5,4.855,3.24,,
20,-10,5.798,3.87,,
21,-15,7.829,5.22,,
22,-20,9.568,6.38,,
23,-25,11.564,7.71,,
24,-30,12.966,8.64,,
25,-35,14.626,9.75,,
26,-40,15.591,10.39,,
27,-45,15.987,10.66,,
28,-50,15.528,10.35,,
29,-55,14.274,9.52,,
30,-60,12.714,8.48,,
31,-65,11.26,7.51,,
32,-70,9.274,6.18,,
33,-75,7.361,4.91,,
34,-80,5.447,3.63,,
35,-85,4.758,3.17,,
36,-90,4.516,3.01,,
37,-95,5.056,3.37,,
38,-100,6.241,4.16,,
39,-105,8.21,5.47,,
40,-110,9.716,6.48,,
41,-115,11.618,7.75,,
42,-120,12.976,8.65,,
43,-125,14.371,9.58,,
44,-130,15.566,10.38,,
45,-135,16.063,10.71,,
46,-140,15.601,10.4,,
47,-145,14.494,9.66,,
48,-150,13.267,8.84,,
49,-155,11.512,7.67,,
50,-160,9.598,6.4,,
51,-165,7.619,5.08,,
52,-170,5.876,3.92,,
53,-175,4.936,3.29,,
54,-180,4.491,2.99,,
55,-185,4.671,3.11,,
56,-190,5.602,3.73,,
57,-195,7.271,4.85,,
58,-200,9.188,6.13,,
59,-205,10.821,7.21,,
60,-210,12.637,8.42,,
61,-215,14.256,9.5,,
62,-220,15.232,10.15,,
63,-225,16.001,10.67,,
64,-230,15.8,10.53,,
65,-235,14.776,9.85,,
66,-240,13.494,9,,
67,-245,11.803,7.87,,
68,-250,9.874,6.58,,
69,-255,8.327,5.55,,
70,-260,6.749,4.5,,
71,-265,5.339,3.56,,
72,-270,4.606,3.07,,
