ang_rot_mes_mech,ang_rot_mes_electric,Tavg_mes [Nm],Tmin_mes [Nm],Tmax_mes [Nm],iU_mes [A],iV_mes [A],iW_mes [A],ia [A],ib [A],i0 [A],id [A],id_comp [A],iq [A],iq_comp [A],Torque_50Hz_Cu [Nm],Torque_100Hz_Cu [Nm],Torque_50Hz_Al [Nm],Torque_100Hz_Al [Nm]
19.70,39.41,9.01,8.87,9.14,30.52,-14.83,-15.38,30.42,0.64,0.10,23.90,24.01,-18.82,-19.45,8.29,8.11,8.08,7.89
19.18,38.36,8.77,8.68,8.86,30.52,-14.83,-15.38,30.42,0.64,0.10,24.24,24.35,-18.38,-19.01,8.22,8.03,8.01,7.82
16.53,33.05,8.49,8.38,8.59,30.52,-14.83,-15.38,30.42,0.64,0.10,25.84,25.94,-16.06,-16.69,7.69,7.52,7.49,7.32
15.76,31.53,7.95,7.80,8.10,30.52,-14.83,-15.38,30.42,0.64,0.10,26.26,26.36,-15.36,-16.00,7.48,7.32,7.30,7.13
15.33,30.66,7.54,7.32,7.76,30.52,-14.83,-15.38,30.42,0.64,0.10,26.49,26.59,-14.96,-15.60,7.36,7.20,7.18,7.01
14.86,29.72,7.15,6.98,7.32,30.52,-14.83,-15.38,30.42,0.64,0.10,26.73,26.83,-14.53,-15.16,7.22,7.06,7.04,6.87
14.35,28.69,6.72,6.57,6.87,30.52,-14.83,-15.38,30.42,0.64,0.10,26.99,27.09,-14.05,-14.68,7.06,6.90,6.88,6.72
13.37,26.73,6.34,6.24,6.45,30.52,-14.83,-15.38,30.42,0.64,0.10,27.45,27.55,-13.11,-13.75,6.72,6.58,6.56,6.40
12.33,24.67,5.97,5.87,6.07,30.52,-14.83,-15.38,30.42,0.64,0.10,27.90,28.01,-12.12,-12.75,6.34,6.20,6.18,6.03
11.72,23.44,5.53,5.43,5.62,30.52,-14.83,-15.38,30.42,0.64,0.10,28.16,28.26,-11.52,-12.15,6.09,5.96,5.94,5.80
11.28,22.56,5.15,5.04,5.26,30.52,-14.83,-15.38,30.42,0.64,0.10,28.33,28.43,-11.08,-11.72,5.91,5.78,5.77,5.63
10.71,21.43,4.74,4.66,4.81,30.52,-14.83,-15.38,30.42,0.64,0.10,28.55,28.65,-10.52,-11.15,5.67,5.55,5.53,5.40
9.13,18.27,4.30,4.18,4.42,30.52,-14.83,-15.38,30.42,0.64,0.10,29.08,29.18,-8.93,-9.56,4.95,4.85,4.83,4.72
8.23,16.46,3.83,3.76,3.89,30.52,-14.83,-15.38,30.42,0.64,0.10,29.35,29.45,-8.01,-8.64,4.52,4.42,4.41,4.30
7.40,14.81,3.51,3.44,3.58,30.52,-14.83,-15.38,30.42,0.64,0.10,29.57,29.67,-7.16,-7.80,4.10,4.01,4.00,3.91
6.67,13.34,3.02,2.97,3.07,30.52,-14.83,-15.38,30.42,0.64,0.10,29.74,29.84,-6.40,-7.03,3.72,3.64,3.63,3.55
5.14,10.29,2.67,2.60,2.74,30.52,-14.83,-15.38,30.42,0.64,0.10,30.04,30.14,-4.81,-5.44,2.91,2.85,2.84,2.77
4.31,8.63,2.20,2.13,2.27,30.52,-14.83,-15.38,30.42,0.64,0.10,30.17,30.27,-3.94,-4.57,2.46,2.40,2.39,2.34
3.50,7.00,1.72,1.61,1.83,30.52,-14.83,-15.38,30.42,0.64,0.10,30.27,30.37,-3.08,-3.71,2.00,1.96,1.95,1.91
2.85,5.69,1.31,1.19,1.43,30.52,-14.83,-15.38,30.42,0.64,0.10,30.33,30.43,-2.38,-3.02,1.63,1.60,1.59,1.55
