ang_rot_mes_mech,ang_rot_mes_elec,Tavg_mes [Nm],Tmin_mes [Nm],Tmax_mes [Nm],iU_mes [A],iV_mes [A],iW_mes [A],ia [A],ib [A],i0 [A],id [A],id_comp [A],iq [A],iq_comp [A],Torque_50Hz_Cu [Nm],Torque_100Hz_Cu [Nm],Torque_50Hz_Al [Nm],Torque_100Hz_Al [Nm]
21.47,42.94,11.17,10.92,11.41,35.65,-17.23,-17.64,35.39,0.48,0.26,26.23,26.49,-23.76,-24.24,15.20,14.86,14.82,14.47
19.59,39.17,11.24,11.17,11.31,35.65,-17.23,-17.64,35.39,0.48,0.26,27.74,28.00,-21.99,-22.46,14.88,14.56,14.51,14.17
19.46,38.93,11.21,11.08,11.34,35.65,-17.23,-17.64,35.39,0.48,0.26,27.83,28.09,-21.87,-22.34,14.85,14.53,14.49,14.14
19.34,38.67,10.82,10.57,11.06,35.65,-17.23,-17.64,35.39,0.48,0.26,27.93,28.19,-21.75,-22.22,14.82,14.50,14.45,14.11
19.17,38.34,10.81,10.65,10.97,35.65,-17.23,-17.64,35.39,0.48,0.26,28.06,28.32,-21.58,-22.06,14.78,14.45,14.41,14.07
17.95,35.91,10.22,10.10,10.34,35.65,-17.23,-17.64,35.39,0.48,0.26,28.95,29.21,-20.37,-20.85,14.41,14.09,14.05,13.72
15.89,31.78,9.86,9.70,10.02,35.65,-17.23,-17.64,35.39,0.48,0.26,30.34,30.60,-18.24,-18.71,13.55,13.25,13.21,12.90
15.27,30.53,9.26,9.08,9.44,35.65,-17.23,-17.64,35.39,0.48,0.26,30.73,30.99,-17.57,-18.05,13.23,12.94,12.90,12.60
14.55,29.10,8.39,8.20,8.57,35.65,-17.23,-17.64,35.39,0.48,0.26,31.16,31.42,-16.80,-17.27,12.84,12.56,12.52,12.22
12.90,25.80,7.62,7.52,7.71,35.65,-17.23,-17.64,35.39,0.48,0.26,32.07,32.33,-14.97,-15.45,11.82,11.56,11.53,11.25
12.27,24.55,7.16,6.98,7.34,35.65,-17.23,-17.64,35.39,0.48,0.26,32.39,32.65,-14.27,-14.75,11.39,11.14,11.11,10.85
11.93,23.86,6.77,6.70,6.83,35.65,-17.23,-17.64,35.39,0.48,0.26,32.56,32.82,-13.88,-14.36,11.15,10.91,10.88,10.62
11.62,23.23,6.29,6.18,6.40,35.65,-17.23,-17.64,35.39,0.48,0.26,32.71,32.97,-13.53,-14.00,10.92,10.68,10.65,10.40
11.09,22.18,5.90,5.86,5.94,35.65,-17.23,-17.64,35.39,0.48,0.26,32.95,33.21,-12.92,-13.40,10.53,10.30,10.27,10.02
10.50,21.01,5.51,5.44,5.58,35.65,-17.23,-17.64,35.39,0.48,0.26,33.21,33.47,-12.24,-12.72,10.08,9.85,9.82,9.59
9.20,18.40,5.14,4.98,5.30,35.65,-17.23,-17.64,35.39,0.48,0.26,33.73,33.99,-10.72,-11.19,9.00,8.81,8.78,8.57
7.75,15.51,4.19,4.09,4.28,35.65,-17.23,-17.64,35.39,0.48,0.26,34.23,34.49,-9.01,-9.48,7.74,7.57,7.55,7.37
6.19,12.38,3.45,3.42,3.48,35.65,-17.23,-17.64,35.39,0.48,0.26,34.67,34.93,-7.12,-7.60,6.28,6.14,6.13,5.98
5.12,10.23,3.02,2.93,3.10,35.65,-17.23,-17.64,35.39,0.48,0.26,34.91,35.17,-5.82,-6.30,5.24,5.13,5.11,4.99
4.21,8.43,2.60,2.50,2.69,35.65,-17.23,-17.64,35.39,0.48,0.26,35.08,35.34,-4.72,-5.19,4.34,4.25,4.23,4.13
2.99,5.98,1.61,1.43,1.78,35.65,-17.23,-17.64,35.39,0.48,0.26,35.25,35.51,-3.21,-3.69,3.10,3.03,3.02,2.95
1.47,2.94,0.94,0.87,1.01,35.65,-17.23,-17.64,35.39,0.48,0.26,35.37,35.63,-1.34,-1.81,1.53,1.50,1.49,1.46
0.00,0.00,0.00,0.00,0.00,35.65,-17.23,-17.64,35.39,0.48,0.26,35.39,35.65,0.48,0.00,0.00,0.00,0.00,0.00
-1.80,-3.61,-0.91,-0.99,-0.83,35.65,-17.23,-17.64,35.39,0.48,0.26,35.29,35.55,2.70,2.23,-1.87,-1.83,-1.83,-1.78
-3.19,-6.37,-1.83,-1.93,-1.73,35.65,-17.23,-17.64,35.39,0.48,0.26,35.12,35.38,4.40,3.93,-3.29,-3.21,-3.21,-3.13
-4.80,-9.59,-2.61,-2.73,-2.49,35.65,-17.23,-17.64,35.39,0.48,0.26,34.82,35.08,6.37,5.89,-4.89,-4.78,-4.77,-4.66
-6.23,-12.45,-3.34,-3.52,-3.15,35.65,-17.23,-17.64,35.39,0.48,0.26,34.46,34.72,8.10,7.62,-6.26,-6.12,-6.10,-5.96
-8.13,-16.25,-4.26,-4.33,-4.19,35.65,-17.23,-17.64,35.39,0.48,0.26,33.85,34.11,10.36,9.89,-7.98,-7.80,-7.78,-7.60
-9.55,-19.11,-5.09,-5.26,-4.91,35.65,-17.23,-17.64,35.39,0.48,0.26,33.29,33.55,12.04,11.56,-9.18,-8.98,-8.95,-8.74
-10.96,-21.91,-5.84,-6.03,-5.64,35.65,-17.23,-17.64,35.39,0.48,0.26,32.66,32.92,13.65,13.17,-10.26,-10.04,-10.01,-9.77
-12.34,-24.69,-6.24,-6.44,-6.03,35.65,-17.23,-17.64,35.39,0.48,0.26,31.96,32.22,15.22,14.74,-11.24,-10.99,-10.96,-10.70
-13.06,-26.12,-6.73,-6.93,-6.53,35.65,-17.23,-17.64,35.39,0.48,0.26,31.57,31.83,16.01,15.53,-11.70,-11.44,-11.41,-11.14
-13.59,-27.19,-7.11,-7.25,-6.97,35.65,-17.23,-17.64,35.39,0.48,0.26,31.27,31.53,16.59,16.12,-12.02,-11.76,-11.73,-11.45
-14.13,-28.27,-7.43,-7.56,-7.3,35.65,-17.23,-17.64,35.39,0.48,0.26,30.95,31.21,17.18,16.70,-12.34,-12.06,-12.03,-11.74
-15.64,-31.28,-8.42,-8.59,-8.25,35.65,-17.23,-17.64,35.39,0.48,0.26,30.00,30.26,18.79,18.31,-13.11,-12.82,-12.79,-12.48
-16.79,-33.57,-9.11,-9.28,-8.94,35.65,-17.23,-17.64,35.39,0.48,0.26,29.23,29.49,19.97,19.49,-13.60,-13.30,-13.26,-12.95
-17.52,-35.04,-10.00,-10.14,-9.85,35.65,-17.23,-17.64,35.39,0.48,0.26,28.70,28.96,20.71,20.24,-13.87,-13.57,-13.53,-13.20
-18.87,-37.75,-10.85,-10.99,-10.71,35.65,-17.23,-17.64,35.39,0.48,0.26,27.69,27.95,22.04,21.57,-14.27,-13.95,-13.91,-13.58
-19.59,-39.18,-10.76,-11,-10.52,35.65,-17.23,-17.64,35.39,0.48,0.26,27.13,27.39,22.73,22.25,-14.43,-14.11,-14.07,-13.73
-20.65,-41.31,-10.97,-11.14,-10.8,35.65,-17.23,-17.64,35.39,0.48,0.26,26.27,26.53,23.72,23.24,-14.59,-14.27,-14.23,-13.89
-21.06,-42.13,-11.04,-11.22,-10.85,35.65,-17.23,-17.64,35.39,0.48,0.26,25.93,26.19,24.09,23.62,-14.64,-14.32,-14.27,-13.94
-21.16,-42.31,-11.22,-11.49,-10.95,35.65,-17.23,-17.64,35.39,0.48,0.26,25.85,26.11,24.18,23.70,-14.65,-14.32,-14.28,-13.94
-21.58,-43.16,-11.17,-11.34,-11,35.65,-17.23,-17.64,35.39,0.48,0.26,25.49,25.75,24.56,24.08,-14.68,-14.35,-14.31,-13.97
,0.00,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,
