T_min,T_avg,T_max,Angle
-11.34,-11.17,-11,-21.58
-11.22,-11.04,-10.85,-21.06
-11.14,-10.97,-10.8,-20.65
-11,-10.76,-10.52,-19.59
-10.99,-10.85,-10.71,-18.87
-10.14,-10,-9.85,-17.52
-9.28,-9.11,-8.94,-16.79
-8.59,-8.42,-8.25,-15.64
-7.56,-7.43,-7.3,-14.13
-7.25,-7.11,-6.97,-13.59
-6.93,-6.73,-6.53,-13.06
-6.44,-6.24,-6.03,-12.34
-6.03,-5.84,-5.64,-10.96
-5.26,-5.09,-4.91,-9.55
-4.33,-4.26,-4.19,-8.13
-3.52,-3.34,-3.15,-6.23
-2.73,-2.61,-2.49,-4.8
-1.93,-1.83,-1.73,-3.19
-0.99,-0.91,-0.83,-1.8
0,0,0,0
0.87,0.94,1.01,1.47
1.43,1.61,1.78,2.99
2.5,2.6,2.69,5.71
2.93,3.02,3.1,6.62
3.42,3.45,3.48,7.69
4.09,4.19,4.28,9.25
4.98,5.14,5.3,10.7
5.44,5.51,5.58,12
5.86,5.9,5.94,12.59
6.18,6.29,6.4,13.12
6.7,6.77,6.83,13.43
6.98,7.16,7.34,13.77
7.52,7.62,7.71,14.4
8.2,8.39,8.57,16.05
9.08,9.26,9.44,16.77
9.7,9.86,10.02,17.39
10.1,10.22,10.34,17.45
10.57,10.82,11.06,19.34
10.92,11.17,11.41,21.47
